,Infected,Recovered,Died,Total
Vadodara,517,1076,45,1638
Gujarat,5962,17082,1533,24577
India,155227,186934,11903,354064
World,3496769,4321495,446135,8264399
USA,1186227,903041,119132,2208400
Brazil,406014,477364,45456,928834
Russia,243868,294306,7284,545458
Italy,24569,178526,34405,237500
Peru,104895,125205,7056,237156
Iran,30699,152675,9065,192439
Germany,6372,173100,8910,188382
Chile,24834,156232,3383,184449
Turkey,23077,153379,4842,181298
France,54834,73335,29547,157716
Mexico,20375,116178,18310,154863
